foe_code,cluster_code,course_id,eftsl,CSP_student_contribution,CSP_commonwealth_contribution
10103,1,3281,0.125,555.625,1864.375
10103,1,3284,0.125,555.625,1864.375
10103,1,3284,0.125,555.625,1864.375
10103,1,3286,0.125,555.625,1864.375
10103,1,3286,0.125,555.625,1864.375
10103,1,3305,0.125,555.625,1864.375
10103,1,3315,0.125,555.625,1864.375
10103,1,3321,0.125,555.625,1864.375
10103,1,3958,0.125,555.625,1864.375
10103,1,4036,0.125,555.625,1864.375
10103,1,4036,0.125,555.625,1864.375
10103,1,4403,0.125,555.625,1864.375
10103,1,4676,0.125,555.625,1864.375
10103,1,4733,0.125,555.625,1864.375
10103,1,4733,0.125,555.625,1864.375
10103,1,4733,0.125,555.625,1864.375
10103,1,4926,0.125,555.625,1864.375
10103,1,4935,0.125,555.625,1864.375
10103,1,4944,0.125,555.625,1864.375
10103,1,4955,0.125,555.625,1864.375
10103,1,4955,0.125,555.625,1864.375
10103,1,4956,0.125,555.625,1864.375
10103,1,4964,0.125,555.625,1864.375
10103,1,4967,0.125,555.625,1864.375
10103,1,4980,0.125,555.625,1864.375
10103,1,4986,0.125,555.625,1864.375
10103,1,4986,0.125,555.625,1864.375
10103,1,4998,0.125,555.625,1864.375
10103,1,5042,0.125,555.625,1864.375
10103,1,5051,0.125,555.625,1864.375
10103,1,5055,0.125,555.625,1864.375
10103,1,5057,0.125,555.625,1864.375
10103,1,5121,0.125,555.625,1864.375
10199,1,2978,5.0,22225.0,74575.0
10199,1,2976,3.125,13890.625,46609.375
10199,1,3012,1.5,6667.5,22372.5
10199,1,2956,1.0,4445.0,14915.0
10199,1,2969,1.0,4445.0,14915.0
10199,1,2999,0.5,2222.5,7457.5
10199,1,3015,0.375,1666.875,5593.125
10199,1,2954,0.25,1111.25,3728.75
10199,1,3034,0.25,1111.25,3728.75
10199,1,3292,0.25,1111.25,3728.75
10199,1,4733,0.25,1111.25,3728.75
10199,1,2951,0.125,555.625,1864.375
10199,1,2984,0.125,555.625,1864.375
10199,1,3000,0.125,555.625,1864.375
10199,1,3017,0.125,555.625,1864.375
10199,1,3029,0.125,555.625,1864.375
10199,1,3299,0.125,555.625,1864.375
10199,1,3314,0.125,555.625,1864.375
10199,1,3315,0.125,555.625,1864.375
10199,1,3354,0.125,555.625,1864.375
10199,1,4922,0.125,555.625,1864.375
10300,2,3315,3.375,30199.5,61735.5
10300,2,3315,2.25,20133.0,41157.0
10300,2,3315,2.125,19014.5,38870.5
10300,2,2976,1.875,16777.5,34297.5
10300,2,3315,1.75,15659.0,32011.0
10300,2,3277,1.0,8948.0,18292.0
10300,2,3579,0.625,5592.5,11432.5
10300,2,2951,0.5,4474.0,9146.0
10300,2,2951,0.5,4474.0,9146.0
10300,2,3579,0.375,3355.5,6859.5
10300,2,2951,0.25,2237.0,4573.0
10300,2,2951,0.25,2237.0,4573.0
10300,2,3028,0.25,2237.0,4573.0
10300,2,3277,0.25,2237.0,4573.0
10300,2,3277,0.25,2237.0,4573.0
10300,2,3314,0.25,2237.0,4573.0
10300,2,3314,0.25,2237.0,4573.0
10300,2,3315,0.25,2237.0,4573.0
