"enrol_id","foe_code","eftsl","student_contribution","commonwealth_contribution","tuition_amount","enrol_unit"
"81142","010905","0.250","2237.00","4573.00","6810.00",2
"81143","010901","0.625","5592.50","11432.50","17025.00",5
"81144","020303","0.750","6711.00","11186.25","17897.25",6
"81145","081101","0.625","10201.88","772.50","10974.38",5
"81146","090305","0.500","8161.50","618.00","8779.50",4
"81147","090101","0.625","10201.88","772.50","10974.38",5
"81148","010101","1.250","5556.25","18643.75","24200.00",10
"81149","091505","0.250","1111.25","4573.00","5684.25",2
"81150","019900","11.500","102902.00","210358.00","313260.00",92
"81151","081101","1.250","20403.75","1545.00","21948.75",10
"81152","080307","0.375","6121.13","463.50","6584.63",3
"81153","080307","0.125","2040.38","154.50","2194.88",1
"81154","100101","0.250","2237.00","3728.75","5965.75",2
"81155","010103","0.750","3333.75","11186.25","14520.00",6
"81156","010301","0.250","2237.00","4573.00","6810.00",2
"81157","081101","0.375","6121.13","463.50","6584.63",3
"81158","081101","0.625","10201.88","772.50","10974.38",5
"81159","091701","1.125","18363.38","1390.50","19753.88",9
"81160","010999","1.250","11185.00","22865.00","34050.00",10
"81161","091505","0.750","3333.75","13719.00","17052.75",6
"81162","010909","0.125","1118.50","2286.50","3405.00",1
"81163","080505","0.125","2040.38","154.50","2194.88",1
"81164","080505","0.125","2040.38","154.50","2194.88",1
"81165","080301","0.125","2040.38","154.50","2194.88",1
"81166","010103","1.625","7223.13","24236.88","31460.00",13
"81167","010103","0.375","1666.88","5593.13","7260.00",3
"81168","080301","0.125","2040.38","154.50","2194.88",1
"81169","010500","1.000","8948.00","18292.00","27240.00",8
"81170","091515","0.375","1666.88","6859.50","8526.38",3
"81171","020300","0.250","2237.00","3728.75","5965.75",2
"81172","060113","0.125","1118.50","3799.38","4917.88",1
"81173","010301","0.250","2237.00","4573.00","6810.00",2
"81174","010500","0.125","1118.50","2286.50","3405.00",1
"81175","020100","0.250","2237.00","3728.75","5965.75",2
"81176","020199","0.125","1118.50","1864.38","2982.88",1
"81177","020305","0.250","2237.00","3728.75","5965.75",2
"81178","010301","0.125","1118.50","2286.50","3405.00",1
"81179","010301","1.000","8948.00","18292.00","27240.00",8
"81180","010301","0.375","3355.50","6859.50","10215.00",3
"81181","080301","0.250","4080.75","309.00","4389.75",2
"81182","010913","0.250","2237.00","4573.00","6810.00",2
"81183","010905","0.250","2237.00","4573.00","6810.00",2
"81184","010503","0.500","4474.00","9146.00","13620.00",4
"81185","030701","0.625","5592.50","11432.50","17025.00",5
"81186","100101","0.125","1118.50","1864.38","2982.88",1
"81187","091701","0.250","4080.75","309.00","4389.75",2
