"row_id","course_type_broad_name","funding_group_name","unit_level","unit_primary_foe_code","unit_primary_foe_detailed_name","unit_primary_foe_narrow_name","unit_primary_foe_broad_name","eftsl_2024"
"159","Undergraduate","Domestic - C'wealth Supported","5","031300","Electrical And Electronic Engineering And Technology","Electrical And Electronic Engineering And Technology","Engineering And Related Technologies","0.125"
"160","Undergraduate","Domestic - C'wealth Supported","4","091903","Econometrics","Economics And Econometrics","Society And Culture","0.125"
"161","Undergraduate","Domestic - C'wealth Supported","4","010911","Microbiology","Biological Sciences","Natural And Physical Sciences","0.125"
"162","Undergraduate","Domestic - C'wealth Supported","5","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","3.000"
"163","Undergraduate","Domestic - C'wealth Supported","5","039900","Other Engineering And Related Technologies","Other Engineering And Related Technologies","Engineering And Related Technologies","0.250"
"164","Undergraduate","Domestic - C'wealth Supported","5","069900","Other Health","Other Health","Health","3.000"
"165","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","0.375"
"166","Undergraduate","Domestic - C'wealth Supported","5","010905","Ecology And Evolution","Biological Sciences","Natural And Physical Sciences","0.875"
"167","Undergraduate","Domestic - C'wealth Supported","4","020119","Artificial Intelligence","Computer Science","Information Technology","0.750"
"168","Undergraduate","Domestic - C'wealth Supported","5","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","1.125"
"169","Undergraduate","Domestic - C'wealth Supported","5","010900","Biological Sciences","Biological Sciences","Natural And Physical Sciences","1.125"
"170","Undergraduate","Domestic - C'wealth Supported","4","050901","Land  Parks And Wildlife Management","Environmental Studies","Agriculture  Environmental And Related Studies","0.125"
"171","Undergraduate","Domestic - C'wealth Supported","5","050900","Environmental Studies","Environmental Studies","Agriculture  Environmental And Related Studies","0.250"
"172","Undergraduate","Domestic - C'wealth Supported","5","010709","Soil Science","Earth Sciences","Natural And Physical Sciences","0.125"
"173","Undergraduate","Domestic - C'wealth Supported","4","031199","Geomatic Engineering Not Elsewhere Classified","Geomatic Engineering","Engineering And Related Technologies","0.250"
"174","Undergraduate","Domestic - C'wealth Supported","4","050900","Environmental Studies","Environmental Studies","Agriculture  Environmental And Related Studies","0.125"
"175","Undergraduate","Domestic - C'wealth Supported","5","050901","Land  Parks And Wildlife Management","Environmental Studies","Agriculture  Environmental And Related Studies","0.125"
"176","Undergraduate","Domestic - C'wealth Supported","5","050101","Agricultural Science","Agriculture","Agriculture  Environmental And Related Studies","0.375"
"177","Undergraduate","Domestic - C'wealth Supported","5","050101","Agricultural Science","Agriculture","Agriculture  Environmental And Related Studies","0.375"
"178","Undergraduate","Domestic - C'wealth Supported","5","050101","Agricultural Science","Agriculture","Agriculture  Environmental And Related Studies","0.250"
"179","Undergraduate","Domestic - C'wealth Supported","5","050101","Agricultural Science","Agriculture","Agriculture  Environmental And Related Studies","0.125"
"180","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","0.125"
"181","Undergraduate","Domestic - C'wealth Supported","4","010103","Statistics","Mathematical Sciences","Natural And Physical Sciences","1.375"
"182","Undergraduate","Domestic - C'wealth Supported","4","090701","Psychology","Behavioural Science","Society And Culture","0.125"
"183","Undergraduate","Domestic - C'wealth Supported","4","010700","Earth Sciences","Earth Sciences","Natural And Physical Sciences","0.250"
"184","Undergraduate","Domestic - C'wealth Supported","5","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.125"
"185","Undergraduate","Domestic - C'wealth Supported","4","010703","Geology","Earth Sciences","Natural And Physical Sciences","0.125"
