BROAD Discipline (FOE) ,NARROW Discipline (FOE) ,DETAILED Discipline (FOE) ,Funding Cluster,2024 Maximum Student Contibution,2024 Commonwealth Contribution,"Special Course Type Code for the Course of Study
(E312 of 27)","Maximum student contribution indicator
(E392 =8)",2024 Grandfathered Maximum Student Contibution,2024 Grandfathered Maximum Student Contibution
08 - MANAGEMENT AND COMMERCE,"0811 - Banking, Finance and Related Fields","081199 - Banking, Finance and Related Fields, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0899 - Other Management and Commerce,089900 - Other Management and Commerce,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0899 - Other Management and Commerce,"089901 - Purchasing, Warehousing and Distribution",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0899 - Other Management and Commerce,089903 - Valuation,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
08 - MANAGEMENT AND COMMERCE,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$12,781","$12,781"
09 - SOCIETY AND CULTURE,0901 - Political Science and Policy Studies,090100 - Political Science and Policy Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0901 - Political Science and Policy Studies,090101 - Political Science,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0901 - Political Science and Policy Studies,090103 - Policy Studies,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090300 - Studies in Human Society,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090301 - Sociology,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090303 - Anthropology,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090305 - History,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090307 - Archaeology,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
09 - SOCIETY AND CULTURE,0903 - Studies in Human Society,090309 - Human Geography,Funding Cluster 1,"$16,323","$1,236",Any E312 value,Any E392 value,"$7,659","$7,659"
